tcgdex_id,name,number,avg1_eur,avg1_usd,updated,run_timestamp,eurusd_rate
neo3-9,Jumpluff,9/64,13.49,15.76,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp2-9,Garchomp,9/122,60,70.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-9,Ho-Oh,9/95,80,93.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop4-9,Pokémon Fan Club,9/17,120,140.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop6-9,Pikachu,9/17,21.08,24.63,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-9,Koga's Beedrill,9/132,90,105.16,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-9,Misty's Seadra,9/132,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-9,Dragonite,9/165,125,146.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-9,Forretress,9/144,175,204.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-9,Mawile,9/100,27.5,32.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-9,Dark Slowking,9/109,22,25.70,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-9,Dark Hypno,9/82,39,45.57,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-9,Magneton,9/102,23.74,27.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex9-9,Rayquaza,9/106,54,63.09,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-9,Magneton,9/130,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex5-9,Machamp,9/101,19,22.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-9,Kabutops,9/62,18.5,21.62,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex8-9,Jirachi,9/107,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
sm115-9,Charizard GX,9/68,550,642.62,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-10,Flareon,10/110,28,32.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-10,Mew,10/16,65,75.95,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-10,Meganium,10/111,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-10,Scizor,10/75,22.5,26.29,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-10,Tentacruel,10/18,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-10,Magneton,10/64,15.5,18.11,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
g1-10,Leafeon EX,10/83,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-10,Koga's Ditto,10/132,26.23,30.65,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-10,Dugtrio,10/165,14,16.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-10,Entei,10/147,150,175.26,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-10,Gengar,10/144,2499.95,2920.94,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
hgss3-10,Umbreon,10/90,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-10,Sableye,10/100,24,28.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-10,Salamence,10/97,190,222.00,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-10,Scyther,10/64,16.22,18.95,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-10,Dark Machamp,10/82,33,38.56,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex12-10,Mew,10/92,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-10,Marowak δ,10/113,13.88,16.22,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex4-10,Team Magma's Houndoom,10/95,32.99,38.55,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex10-10,Octillery,10/115,49.9,58.30,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-10,Mewtwo,10/130,50,58.42,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex15-10,Snorlax δ,10/101,25.99,30.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-11,Gengar,11/110,100,116.84,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-11,Diglett,11/16,19,22.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-11,Meganium,11/111,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-11,Dark Tyranitar,11/105,114.99,134.35,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-11,Smeargle,11/75,14.49,16.93,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-11,Marill,11/18,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
xy12-11,Charizard,11/108,48.33,56.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-11,Misdreavus,11/64,26.99,31.54,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
g1-11,Charizard EX,11/83,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp6-11,Mewtwo,11/146,13.99,16.35,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dv1-11,Rayquaza,11/20,17.5,20.45,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-11,Jirachi,11/95,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-11,Lt. Surge's Raichu,11/132,27,31.55,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-11,Rocket's Hitmonchan,11/132,80,93.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-11,Fearow,11/165,18.77,21.93,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-11,Espeon,11/147,160,186.94,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-11,Gyarados,11/144,600,701.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex1-11,Sceptile,11/109,27.95,32.66,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-11,Seviper,11/100,13.49,15.76,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-11,Jumpluff,11/109,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-11,Snorlax,11/64,30.5,35.64,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-11,Dark Magneton,11/82,13,15.19,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-11,Metagross δ,11/113,14.85,17.35,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-11,Nidoking,11/102,46.91,54.81,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-11,Nidoking,11/130,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-11,Magneton,11/62,32.85,38.38,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pl4-12,Zapdos,12/99,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-12,Lucario,12/16,55,64.26,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-12,Pichu,12/111,19,22.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-12,Light Arcanine,12/105,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-12,Tyranitar,12/75,40.73,47.59,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-12,Lapras,12/18,45,52.58,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-12,Porygon2,12/64,14.9,17.41,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
bw4-12,Arcanine,12/99,18,21.03,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-12,Kyogre,12/95,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-12,Bulbasaur,12/17,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-12,Misty's Golduck,12/132,67.5,78.87,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-12,Rocket's Moltres,12/132,60,70.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-12,Feraligatr,12/165,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-12,Exeggutor,12/147,60,70.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-12,Houndoom,12/144,129,150.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex1-12,Slaking,12/109,29.99,35.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex16-12,Raichu,12/108,45,52.58,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-12,Kingdra,12/109,21.99,25.69,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-12,Dark Slowbro,12/82,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-12,Mewtwo δ,12/113,27.99,32.70,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-12,Nidoqueen,12/130,69.99,81.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex5-12,Milotic,12/101,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-12,Moltres,12/62,29.95,34.99,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-13,Hitmonlee,13/110,22,25.70,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-13,Skuntank,13/16,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-13,Umbreon,13/75,719.5,840.66,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-13,Exeggutor,13/18,20,23.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-13,Raikou,13/64,209.5,244.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
bw4-13,Arcanine,13/99,18,21.03,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop3-13,Eevee,13/17,32.99,38.55,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop5-13,Pikachu δ,13/17,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-13,Misty's Gyarados,13/132,199,232.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-13,Rocket's Scyther,13/132,100,116.84,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-13,Gengar,13/165,60,70.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-13,Exeggutor,13/147,60,70.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-13,Jolteon,13/144,64.99,75.93,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-13,Piloswine,13/109,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-13,Dark Vileplume,13/82,19,22.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-13,Rayquaza δ,13/113,18.43,21.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-13,Poliwrath,13/102,19.98,23.34,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-13,Ninetales,13/130,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex6-13,Rapidash,13/112,15.5,18.11,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-14,Bastiodon,14/16,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-14,Light Dragonite,14/105,60,70.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-14,Slowking,14/18,70,81.79,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-14,Suicune,14/64,319.99,373.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
xy10-14,Delphox BREAK,14/124,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp6-14,Rayquaza,14/146,17.25,20.15,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp5-14,Zapdos,14/100,24.99,29.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-14,Lucario,14/95,39,45.57,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-14,Rocket's Mewtwo,14/132,300,350.52,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-14,Sabrina's Gengar,14/132,129.14,150.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-14,Golem,14/165,29.95,34.99,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-14,Houndoom,14/147,480,560.83,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-14,Kabutops,14/144,115,134.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex14-14,Blastoise,14/100,47.25,55.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex2-14,Zangoose,14/100,14.98,17.50,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-14,Togetic,14/109,14.85,17.35,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex13-14,Pidgeot δ,14/110,18.99,22.19,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-14,Dark Weezing,14/82,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-14,Raichu,14/102,70,81.79,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex9-14,Groudon,14/106,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-14,Pidgeot,14/130,31,36.22,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-14,Raichu,14/62,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-15,Machamp,15/110,14.9,17.41,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
cel25-15A,Venusaur,15A/25,15.84,18.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
cel25-15A1,Venusaur,15A1/25,15.84,18.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dc1-15,Team Magma's Groudon EX,15/34,199,232.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-15,Rattata,15/16,19.5,22.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-15,Steelix,15/111,18.5,21.62,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-15,Light Togetic,15/105,54.95,64.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-15,Ursaring,15/75,25.33,29.60,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-15,Wartortle,15/18,23.95,27.98,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp2-15,Raichu,15/122,30.65,35.81,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-15,Lugia,15/95,1850,2161.54,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop9-15,Pikachu,15/17,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-15,Rocket's Zapdos,15/132,104.99,122.67,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-15,Brock,15/132,16.25,18.99,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-15,Houndoom,15/147,480,560.83,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-15,Ledian,15/144,209.99,245.35,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-15,Flygon,15/97,27.4,32.01,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex7-15,Dark Dragonite,15/109,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex13-15,Raichu δ,15/110,19.5,22.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-15,Here Comes Team Rocket!,15/82,20.99,24.52,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-15,Venusaur,15/102,144.99,169.41,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex10-15,Sudowoodo,15/115,16,18.69,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-15,Zapdos,15/62,29.43,34.39,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-16,Muk,16/110,18.33,21.42,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pl4-16,Gengar,16/99,12.95,15.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-16,Bibarel,16/16,19.9,23.25,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-16,Togetic,16/111,38.99,45.56,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-16,Miracle Energy,16/105,16,18.69,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-16,Celebi,16/64,29.9,34.94,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp2-16,Typhlosion,16/122,30,35.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop9-16,Piplup,16/17,28,32.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-16,Pikachu,16/17,23.5,27.46,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop1-16,Armaldo ex,16/17,29.99,35.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-16,Sabrina's Alakazam,16/132,250,292.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-16,Erika,16/132,29,33.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-16,Machamp,16/165,38,44.40,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-16,Hypno,16/147,15,17.53,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-16,Machamp,16/144,60,70.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-16,Wigglytuff,16/64,28.75,33.59,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex13-16,Rayquaza δ,16/110,43.75,51.12,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-16,Rocket's Sneak Attack,16/82,19.99,23.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-16,Zapdos,16/102,660,771.14,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-16,Raichu,16/130,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-16,Aerodactyl,16/62,25.97,30.34,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex6-16,Tauros,16/112,18.99,22.19,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-17,Ninetales,17/110,14,16.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pl4-17,Gengar,17/99,12.95,15.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-17,Typhlosion,17/111,125,146.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-17,Vileplume,17/18,18,21.03,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-17,Entei,17/64,122.5,143.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop4-17,Deoxys ex,17/17,250,292.10,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-17,Celebi ex,17/17,32.5,37.97,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop1-17,Tyranitar ex,17/17,19.99,23.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-17,Blaine,17/132,24.89,29.08,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-17,Lt. Surge,17/132,34.99,40.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-17,Magby,17/165,13.13,15.34,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-17,Jumpluff,17/147,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-17,Magcargo,17/144,28.48,33.28,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-17,Clefable,17/64,85,99.31,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-17,Rainbow Energy,17/82,14.18,16.57,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-17,Umbreon δ,17/113,27,31.55,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-17,Articuno,17/62,25.49,29.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-18,Venusaur,18/110,87,101.65,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo1-18,Typhlosion,18/111,125,146.05,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-18,Giovanni,18/132,170,198.63,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-18,Misty,18/132,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-18,Meganium,18/165,35,40.89,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-18,Magcargo,18/144,28.48,33.28,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-18,Electrode,18/64,14.09,16.46,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-18,Dark Alakazam,18/82,29.21,34.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-18,Vaporeon δ,18/113,80,93.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-18,Dragonair,18/102,13.5,15.77,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-18,Venusaur,18/130,55,64.26,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-18,Ditto,18/62,39.99,46.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-19,Zapdos,19/110,40,46.74,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-19,Dark Omastar,19/105,13.25,15.48,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-19,Palkia,19/95,49.99,58.41,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-19,Koga,19/132,90,105.16,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-19,The Rocket's Trap,19/132,21.45,25.06,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-19,Mew,19/165,16,18.69,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-19,Kingdra,19/147,23,26.87,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-19,Magneton,19/144,59.99,70.09,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
